[I 2025-04-30 13:36:04,885] Trial 89 finished with value: 0.8905681818181819 and parameters: {'n_estimators': 600, 'max_depth': 43, 'min_samples_split': 9, 'min_samples_leaf': 1, 'max_features': 'log2', 'bootstrap': True}. Best is trial 3 with value: 0.8911363636363635.
[I 2025-04-30 13:36:18,857] Trial 90 finished with value: 0.8888636363636364 and parameters: {'n_estimators': 650, 'max_depth': 47, 'min_samples_split': 10, 'min_samples_leaf': 2, 'max_features': 'log2', 'bootstrap': True}. Best is trial 3 with value: 0.8911363636363635.
[I 2025-04-30 13:36:32,553] Trial 91 finished with value: 0.8906818181818184 and parameters: {'n_estimators': 626, 'max_depth': 40, 'min_samples_split': 9, 'min_samples_leaf': 1, 'max_features': 'log2', 'bootstrap': True}. Best is trial 3 with value: 0.8911363636363635.
[I 2025-04-30 13:36:44,931] Trial 92 finished with value: 0.8910227272727272 and parameters: {'n_estimators': 565, 'max_depth': 40, 'min_samples_split': 9, 'min_samples_leaf': 1, 'max_features': 'log2', 'bootstrap': True}. Best is trial 3 with value: 0.8911363636363635.
[I 2025-04-30 13:36:57,199] Trial 93 finished with value: 0.8903409090909091 and parameters: {'n_estimators': 562, 'max_depth': 44, 'min_samples_split': 8, 'min_samples_leaf': 1, 'max_features': 'log2', 'bootstrap': True}. Best is trial 3 with value: 0.8911363636363635.
[I 2025-04-30 13:37:09,063] Trial 94 finished with value: 0.8902272727272728 and parameters: {'n_estimators': 539, 'max_depth': 40, 'min_samples_split': 9, 'min_samples_leaf': 1, 'max_features': 'log2', 'bootstrap': True}. Best is trial 3 with value: 0.8911363636363635.
[I 2025-04-30 13:37:24,692] Trial 95 finished with value: 0.8907954545454546 and parameters: {'n_estimators': 716, 'max_depth': 42, 'min_samples_split': 9, 'min_samples_leaf': 1, 'max_features': 'log2', 'bootstrap': True}. Best is trial 3 with value: 0.8911363636363635.
[I 2025-04-30 13:37:34,639] Trial 96 finished with value: 0.8893181818181818 and parameters: {'n_estimators': 466, 'max_depth': 50, 'min_samples_split': 8, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'bootstrap': True}. Best is trial 3 with value: 0.8911363636363635.
[I 2025-04-30 13:37:45,613] Trial 97 finished with value: 0.8898863636363636 and parameters: {'n_estimators': 502, 'max_depth': 43, 'min_samples_split': 9, 'min_samples_leaf': 1, 'max_features': 'log2', 'bootstrap': True}. Best is trial 3 with value: 0.8911363636363635.
[I 2025-04-30 13:38:28,704] Trial 98 finished with value: 0.8871590909090908 and parameters: {'n_estimators': 601, 'max_depth': 49, 'min_samples_split': 9, 'min_samples_leaf': 1, 'max_features': None, 'bootstrap': True}. Best is trial 3 with value: 0.8911363636363635.
[I 2025-04-30 13:38:49,220] Trial 99 finished with value: 0.8895454545454544 and parameters: {'n_estimators': 672, 'max_depth': 42, 'min_samples_split': 8, 'min_samples_leaf': 1, 'max_features': 'log2', 'bootstrap': False}. Best is trial 3 with value: 0.8911363636363635.
[I 2025-04-30 13:39:05,276] Trial 100 finished with value: 0.8881818181818181 and parameters: {'n_estimators': 755, 'max_depth': 45, 'min_samples_split': 9, 'min_samples_leaf': 2, 'max_features': 'log2', 'bootstrap': True}. Best is trial 3 with value: 0.8911363636363635.
[I 2025-04-30 13:39:20,920] Trial 101 finished with value: 0.8904545454545454 and parameters: {'n_estimators': 721, 'max_depth': 40, 'min_samples_split': 10, 'min_samples_leaf': 1, 'max_features': 'log2', 'bootstrap': True}. Best is trial 3 with value: 0.8911363636363635.
[I 2025-04-30 13:39:36,560] Trial 102 finished with value: 0.8906818181818181 and parameters: {'n_estimators': 699, 'max_depth': 38, 'min_samples_split': 9, 'min_samples_leaf': 1, 'max_features': 'log2', 'bootstrap': True}. Best is trial 3 with value: 0.8911363636363635.
